title,year,genre,runtime,director,star,gross_world,gross_domestic,rating,ratingM,ratingF,ratingU18,rating1829,rating3044,rating45A,votes,votesM,votesF,votesU18,votes1829,votes3044,votes45A,ratingUS,ratingNonUS,votesUS,votesNonUS
Hotel Transylvania,2012,Animation,91,Genndy Tartakovsky,Adam Sandler,358.38,148.31,7.1,7.0,7.4,7.1,7.2,7.0,6.9,245782,127379,53265,278,48105,99660,20828,6.9,7.0,26256,101407
Looper,2012,Action,119,Rian Johnson,Joseph Gordon-Levitt,176.51,66.49,7.4,7.4,7.4,7.6,7.6,7.4,7.2,561648,379863,63698,102,85880,270553,62206,7.6,7.3,76447,256130
Zero Dark Thirty,2012,Drama,157,Kathryn Bigelow,Jessica Chastain,132.82,95.72,7.4,7.4,7.3,7.3,7.5,7.4,7.4,290766,202080,29225,45,39579,137160,41516,7.6,7.3,48590,130404
Men in Black 3,2012,Action,106,Barry Sonnenfeld,Will Smith,624.03,179.02,6.8,6.8,7.0,6.9,6.9,6.7,6.8,352574,236335,40444,141,57952,165456,39817,6.9,6.7,46550,160173
Magic Mike,2012,Comedy,110,Steven Soderbergh,Channing Tatum,167.74,113.72,6.1,6.1,6.1,5.7,6.2,6.1,5.9,136363,60327,50336,18,25268,64210,15607,6.1,6.0,23281,60339
The Twilight Saga: Breaking Dawn - Part 2,2012,Adventure,115,Bill Condon,Kristen Stewart,829.75,292.3,5.5,5.0,6.3,5.7,5.6,5.4,5.6,243168,102470,81171,102,54606,97098,19705,5.6,5.3,29582,92542
Journey 2: The Mysterious Island,2012,Action,94,Brad Peyton,Josh Hutcherson,335.26,103.86,5.8,5.7,6.2,5.9,5.9,5.7,5.7,101541,62509,15323,84,20368,40937,12497,5.8,5.7,11757,45765
This Is 40,2012,Comedy,134,Judd Apatow,Paul Rudd,88.22,67.54,6.2,6.2,6.1,5.5,6.2,6.2,6.2,136179,81468,28773,12,17628,69174,17587,6.4,6.1,26327,59077
Argo,2012,Biography,120,Ben Affleck,Ben Affleck,232.33,136.03,7.7,7.7,7.8,7.3,7.8,7.7,7.7,600112,387552,77503,122,92565,274073,69097,7.9,7.6,81289,263111
Sinister,2012,Horror,110,Scott Derrickson,Ethan Hawke,82.52,48.09,6.8,6.8,6.8,7.0,6.9,6.7,6.6,240296,138256,38811,121,45122,98887,22200,6.9,6.7,32749,97311
Dark Shadows,2012,Comedy,113,Tim Burton,Johnny Depp,245.53,79.73,6.2,6.2,6.3,6.2,6.2,6.1,6.3,260605,144558,63054,70,45902,121857,30601,6.0,6.2,33566,122438
The Wolf of Wall Street,2013,Biography,180,Martin Scorsese,Leonardo DiCaprio,392.0,116.9,8.2,8.2,7.8,8.5,8.4,8.1,7.7,1315347,716367,158722,729,253068,458526,91592,8.1,8.1,120597,464312
The Hunger Games: Catching Fire,2013,Action,146,Francis Lawrence,Jennifer Lawrence,865.01,424.67,7.5,7.3,8.0,7.6,7.8,7.4,7.2,645209,348680,128914,261,134027,252240,54239,7.7,7.3,78385,251757
Prisoners,2013,Crime,153,Denis Villeneuve,Hugh Jackman,122.13,61.0,8.1,8.1,8.0,8.6,8.3,8.0,7.8,664498,392638,78383,346,123365,261034,52998,8.1,8.0,65040,271299
The Great Gatsby,2013,Drama,143,Baz Luhrmann,Leonardo DiCaprio,353.64,144.84,7.2,7.1,7.5,7.4,7.5,7.2,6.8,519443,273065,109132,205,109018,210542,37130,7.0,7.2,57594,212536
Frozen,2013,Animation,102,Chris Buck,Kristen Bell,1281.51,400.74,7.4,7.3,7.8,7.0,7.6,7.4,7.4,604927,290194,141306,497,128144,222793,46920,7.5,7.3,76002,221713
Stoker,2013,Drama,99,Park Chan-wook,Mia Wasikowska,12.08,1.7,6.8,6.7,6.9,6.9,7.0,6.8,6.5,107330,62810,26375,6,14763,56728,14693,6.8,6.8,13484,58107
12 Years a Slave,2013,Biography,134,Steve McQueen,Chiwetel Ejiofor,187.73,56.67,8.1,8.1,8.1,8.1,8.3,8.0,7.9,678354,389306,101828,206,129827,266151,59695,8.3,8.0,67378,277192
Her,2013,Drama,126,Spike Jonze,Joaquin Phoenix,48.52,25.57,8.0,8.0,7.8,8.2,8.2,7.9,7.5,582782,327711,93816,274,114896,234275,46796,8.0,7.9,63918,240903
The Hobbit: The Desolation of Smaug,2013,Adventure,161,Peter Jackson,Ian McKellen,959.01,258.37,7.8,7.8,8.0,7.8,8.0,7.8,7.6,636434,390718,84309,241,124767,260223,55250,7.7,7.7,65253,266315
World War Z,2013,Action,116,Marc Forster,Brad Pitt,540.46,202.36,7.0,6.9,7.1,7.0,7.1,6.9,6.9,640453,406039,74474,239,107408,269868,66668,6.9,6.9,74669,264245
About Time,2013,Comedy,123,Richard Curtis,Domhnall Gleeson,87.1,15.32,7.8,7.8,7.9,7.9,8.0,7.7,7.6,332035,169764,75152,106,64403,134635,31050,7.8,7.7,29711,145557
Kick-Ass 2,2013,Action,103,Jeff Wadlow,Aaron Taylor-Johnson,60.8,28.8,6.5,6.5,6.6,6.3,6.6,6.5,6.4,266160,182334,25929,75,51020,121025,23506,6.5,6.5,31968,122345
Iron Man Three,2013,Action,130,Shane Black,Robert Downey Jr.,1214.81,409.01,7.1,7.1,7.5,7.2,7.3,7.1,7.1,814411,488122,93234,609,152829,309488,68859,7.2,7.1,97753,295979
Nymphomaniac: Vol. I,2013,Drama,117,Lars von Trier,Charlotte Gainsbourg,13.55,0.79,6.9,6.9,7.1,6.0,7.1,7.0,6.6,121786,72328,24301,24,23341,57339,12137,6.8,6.9,11371,62885
Despicable Me 2,2013,Animation,98,Pierre Coffin,Steve Carell,970.77,368.06,7.3,7.3,7.6,6.8,7.4,7.3,7.3,387821,213464,73704,357,77040,155354,31639,7.2,7.3,40950,157216
Man of Steel,2013,Action,143,Zack Snyder,Henry Cavill,668.05,291.05,7.0,7.1,7.0,6.7,7.1,7.0,7.0,743754,476102,73436,365,126688,304845,70816,7.1,6.9,96828,277856
Grown Ups 2,2013,Comedy,101,Dennis Dugan,Adam Sandler,246.98,133.67,5.4,5.3,5.8,5.2,5.6,5.3,5.1,149687,89704,21611,89,32634,57569,12051,5.1,5.3,19693,58144
We're the Millers,2013,Comedy,110,Rawson Marshall Thurber,Jason Sudeikis,269.99,150.39,7.0,7.0,7.1,7.0,7.2,6.9,6.9,433514,247830,78501,143,89046,177546,35998,7.0,6.9,52991,178266
The Conjuring,2013,Horror,112,James Wan,Patrick Wilson,320.36,137.4,7.5,7.5,7.5,7.8,7.6,7.5,7.3,485632,272786,74604,345,95659,186786,38448,7.6,7.4,58597,183453
Oldboy,2013,Action,104,Spike Lee,Josh Brolin,5.19,2.19,5.7,5.7,5.7,3.8,5.5,5.7,6.0,74222,52153,6775,24,9458,35575,10879,5.7,5.7,11072,34317
American Hustle,2013,Crime,138,David O. Russell,Christian Bale,251.17,150.12,7.2,7.3,7.1,7.1,7.3,7.2,7.3,469154,293216,70533,87,81118,208826,51171,7.4,7.2,64785,204268
Thor: The Dark World,2013,Action,112,Alan Taylor,Chris Hemsworth,644.78,206.36,6.8,6.8,7.3,6.0,6.9,6.9,6.9,648540,371702,85064,536,121210,244273,54096,6.9,6.8,75632,239421
42,2013,Biography,128,Brian Helgeland,Chadwick Boseman,97.47,95.0,7.5,7.5,7.9,7.8,7.7,7.4,7.5,92379,61318,10565,17,12951,39823,14338,7.5,7.4,22677,31745
